Gregorian Date,Hypothetical Year,Hypothetical Month,Hypothetical Day
1582-01-01,1582,1,1
1583-01-01,1582,12,30
1584-01-01,1583,11,30
1584-12-31,1584,10,30
1585-12-31,1585,9,30
1586-12-31,1586,8,29
1587-12-31,1587,7,29
1588-12-30,1588,6,29
1589-12-30,1589,5,29
1590-12-30,1590,4,28
1591-12-30,1591,3,28
1592-12-29,1592,2,28
1593-12-29,1593,1,28
1594-12-29,1593,13,27
1595-12-29,1594,12,27
1596-12-28,1595,11,27
1597-12-28,1596,10,27
1598-12-28,1597,9,26
1599-12-28,1598,8,26
1600-12-27,1599,7,26
1601-12-27,1600,6,26
1602-12-27,1601,5,25
1603-12-27,1602,4,25
1604-12-26,1603,3,25
1605-12-26,1604,2,25
1606-12-26,1605,1,25
1607-12-26,1605,13,24
1608-12-25,1606,12,24
1609-12-25,1607,11,24
1610-12-25,1608,10,24
1611-12-25,1609,9,23
1612-12-24,1610,8,23
1613-12-24,1611,7,23
1614-12-24,1612,6,23
1615-12-24,1613,5,22
1616-12-23,1614,4,22
1617-12-23,1615,3,22
1618-12-23,1616,2,22
1619-12-23,1617,1,21
1620-12-22,1617,13,21
1621-12-22,1618,12,21
1622-12-22,1619,11,21
1623-12-22,1620,10,20
1624-12-21,1621,9,20
1625-12-21,1622,8,20
1626-12-21,1623,7,20
1627-12-21,1624,6,20
1628-12-20,1625,5,19
1629-12-20,1626,4,19
1630-12-20,1627,3,19
1631-12-20,1628,2,19
1632-12-19,1629,1,18
1633-12-19,1629,13,18
1634-12-19,1630,12,18
1635-12-19,1631,11,18
1636-12-18,1632,10,17
1637-12-18,1633,9,17
1638-12-18,1634,8,17
1639-12-18,1635,7,17
1640-12-17,1636,6,16
1641-12-17,1637,5,16
1642-12-17,1638,4,16
1643-12-17,1639,3,16
1644-12-16,1640,2,15
1645-12-16,1641,1,15
1646-12-16,1641,13,15
1647-12-16,1642,12,15
1648-12-15,1643,11,14
1649-12-15,1644,10,14
1650-12-15,1645,9,14
1651-12-15,1646,8,14
1652-12-14,1647,7,14
1653-12-14,1648,6,13
1654-12-14,1649,5,13
1655-12-14,1650,4,13
1656-12-13,1651,3,13
1657-12-13,1652,2,12
1658-12-13,1653,1,12
1659-12-13,1653,13,12
1660-12-12,1654,12,12
1661-12-12,1655,11,11
1662-12-12,1656,10,11
1663-12-12,1657,9,11
1664-12-11,1658,8,11
1665-12-11,1659,7,10
1666-12-11,1660,6,10
1667-12-11,1661,5,10
1668-12-10,1662,4,10
1669-12-10,1663,3,9
1670-12-10,1664,2,9
1671-12-10,1665,1,9
1672-12-09,1665,13,9
1673-12-09,1666,12,9
1674-12-09,1667,11,8
1675-12-09,1668,10,8
1676-12-08,1669,9,8
1677-12-08,1670,8,8
1678-12-08,1671,7,7
1679-12-08,1672,6,7
1680-12-07,1673,5,7
1681-12-07,1674,4,7
1682-12-07,1675,3,6
1683-12-07,1676,2,6
1684-12-06,1677,1,6
1685-12-06,1677,13,6
1686-12-06,1678,12,5
1687-12-06,1679,11,5
1688-12-05,1680,10,5
1689-12-05,1681,9,5
1690-12-05,1682,8,4
1691-12-05,1683,7,4
1692-12-04,1684,6,4
1693-12-04,1685,5,4
1694-12-04,1686,4,3
1695-12-04,1687,3,3
1696-12-03,1688,2,3
1697-12-03,1689,1,3
1698-12-03,1689,13,3
1699-12-03,1690,12,2
1700-12-03,1691,11,2
1701-12-03,1692,10,2
1702-12-03,1693,9,2
1703-12-03,1694,8,1
1704-12-02,1695,7,1
1705-12-02,1696,6,1
1706-12-02,1697,5,1
1707-12-02,1698,3,30
1708-12-01,1699,2,30
1709-12-01,1700,1,30
1710-12-01,1700,13,30
1711-12-01,1701,12,29
1712-11-30,1702,11,29
1713-11-30,1703,10,29
1714-11-30,1704,9,29
1715-11-30,1705,8,28
1716-11-29,1706,7,28
1717-11-29,1707,6,28
1718-11-29,1708,5,28
1719-11-29,1709,4,28
1720-11-28,1710,3,27
